Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5MecGeJDMAOpGoYKkhS4Xi,2ijWbN5KykTYiBoVmhzCTU,Hare Krishna Hare Rama,Deepawali Special (Hindi Devotional Songs),Jagjit Singh,01-07-2016,294400,45,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:32:25Z,"classic bollywood,desi pop,filmi,ghazal,sufi",0.641,0.5,0,-7.376,1,0.0259,0.688,0.0000061,0.142,0.607,83.003,4
5L7NV3Q7LsPpJN87DdjHV0,"4hkB2bR5ek6lJChj6aunCn,4I5QgST39jQbLzuWTgUKcX",Ghanshyam Sundar Shridhar,Deepawali Special (Hindi Devotional Songs),"Anuradha Paudwal,Ravindra Sathe",01-07-2016,277185,10,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:00Z,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood,mantra",0.71,0.267,3,-15.28,1,0.0308,0.422,0,0.0417,0.761,85.121,4
1dMgiptIdQgSam2zzpzlaS,"0pK1kMsD0cnIoFPL675cAa,6kzB1A0u8287PiJwpjK3mv,4Qeb8SjRcW1K9RlwxF9rqS",En Anpin Geethame,Psalms (Christian Devotional Songs),"Don Valiyavelicham,Ruben Daniel,Annie Thankachan",27-12-2015,421139,8,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:10Z,malayalam worship,0.524,0.311,5,-6.234,1,0.0288,0.535,0,0.242,0.238,144.001,4
1tErtb5jqktxe2JURUcc9q,2wPsNCwhEGb0KvChZ5DD52,Ane Mele Ambari,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,208584,7,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.465,0.919,9,-2.387,0,0.0612,0.74,0.0000687,0.688,0.784,116.894,4
53fupiNG7xu9GL4qPVJO8h,2wPsNCwhEGb0KvChZ5DD52,Kuduhoohu Ganathalli,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,258345,7,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.524,0.771,1,-7.809,0,0.0522,0.544,0.00000324,0.393,0.593,120.934,4
2dHKTnXEig6UzyXlLRwg0F,2wPsNCwhEGb0KvChZ5DD52,Kuzhaloothum Guruvazhoor,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,299212,6,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.398,0.591,8,-8.887,0,0.0385,0.707,0.000348,0.133,0.441,94.999,4
2VXXOFxWI4WVeQvFVPpIyT,2wPsNCwhEGb0KvChZ5DD52,Makaradha Vanchinali,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,323361,6,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.496,0.451,2,-9.814,1,0.0293,0.495,0.00000713,0.185,0.514,127.888,3
46jCjCiLpOEEWmuN71Gqvk,2wPsNCwhEGb0KvChZ5DD52,Otugudi Bandhevu Panpe Madilali Ninthevu,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,221077,5,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.481,0.696,0,-11.863,0,0.0672,0.687,0.182,0.364,0.882,131.44,4
47z3x2YhEEafsDHwcu01h0,2wPsNCwhEGb0KvChZ5DD52,Pambanadiyen Ganapa,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,263918,5,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.433,0.579,4,-8.588,1,0.0299,0.504,0.00101,0.105,0.793,109.92,1
64aXY8fBDWrQ4HunyKVTyw,2wPsNCwhEGb0KvChZ5DD52,Pillangoviya,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,312215,5,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.404,0.521,4,-10.984,1,0.0431,0.572,0.0141,0.181,0.637,88.121,4
1LWgxeD1TKNJSzqk2bLkn0,2wPsNCwhEGb0KvChZ5DD52,Prabhuve Ninnanu,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,262083,5,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.492,0.404,7,-13.075,1,0.0405,0.761,0.031,0.368,0.618,84.901,4
3IHSFMB5a3p5mR9AoO6AfU,2wPsNCwhEGb0KvChZ5DD52,Savira Saavira,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,317788,4,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.334,0.505,0,-10.796,1,0.0383,0.649,0.00000904,0.144,0.469,149.539,4
3JxtuSVBo2SsenirDrNhyy,2wPsNCwhEGb0KvChZ5DD52,Tanumanaminnathe,"Ayyappa Devotional Songs Kannada, Vol. 9",K. J. Yesudas,05-11-1991,276921,4,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:14Z,"filmi,mollywood",0.488,0.578,0,-9.486,1,0.0346,0.472,0,0.179,0.791,144.392,3
5QzFQbnNgnVEyWoPMoflyQ,58MHqzMYj4y4hs53HGz7zF,Jai Ambe Gauri - Durga Maa Aarti,Most Popular Devotional Songs,Sanjeevani Bhelande,29-12-2014,460800,11,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:28Z,"mantra,marathi devotional,marathi traditional",0.7,0.477,1,-8.795,1,0.0291,0.179,0,0.165,0.414,100.083,4
4wyEaeeFZs8NHet6NF1bZN,1nsKWGLirI3Htw3HAruaWP,Doddonka Neriyalo,Sri Anjaneya Swamy Devotional Songs,Anilkumar,07-02-2016,298292,8,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-14T07:33:45Z,,0.768,0.81,6,-6.621,1,0.181,0.522,0,0.0538,0.907,95.094,4
368wFmer8wGT6FpPl89D5R,"4LPgUeDcLYBzPX7j1Xhnqg,4VLnJBWIhkTJ8OzbHg8YEb",Malhar Wari,Malhar Wari,"Ajay Gogavale,Shahir Sable",01-01-2004,344503,31,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:15Z,,0.703,0.803,10,-7.349,1,0.0784,0.234,0.00000852,0.0507,0.534,103.009,4
1fK0LqYJlo8q3Bi2HqLdiA,01jNItBah2GLuwXQS3LO97,Sada Sarvada,Best Marathi Devotional Songs,Ketan Patwardhan,24-01-2018,53837,9,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:21Z,"gujarati garba,mantra,marathi devotional",0.401,0.0903,10,-18.312,1,0.0754,0.887,0,0.0926,0.29,84.766,5
4zOuKWJtvJACcrdTlnTvkg,"4I5QgST39jQbLzuWTgUKcX,1mMKKbLFrIqfOzLqFuGBRt",Tim Tim Timbali,Ganesh Chaturthi Special (Marathi Devotional Songs),"Ravindra Sathe,Anupama",01-07-2016,351738,19,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:26Z,"mantra,filmi",0.57,0.697,7,-10.492,1,0.0556,0.745,0,0.0472,0.808,82.33,4
5iielnMaaEGSfX7FAcgbYX,7vJyQMmionozMmzgDkyqUd,Ganpati Majha Nachat Aala,Ganesh Chaturthi Special (Marathi Devotional Songs),Anand Shinde,01-07-2016,348656,14,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:30Z,marathi pop,0.435,0.833,6,-6.326,0,0.18,0.391,0.0000024,0.605,0.814,88.934,4
3LnuiVdECDHG9DJPjHBZLu,78S9sDqFNOG88nNiWEzvEl,Shree Ganesha He Jagdisha,Ganesh Chaturthi Special (Marathi Devotional Songs),Vivek Naik,01-07-2016,271229,4,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:42Z,marathi pop,0.823,0.801,0,-4.537,1,0.0718,0.644,0,0.241,0.738,95.985,4
32XUP0yItzUHUfoOtfWVDt,35HvgH02XZM8Brk69YXH4h,Nachen Aanande,Pandharichya Sakhya Panduranga (Marathi Devotional Songs),Yadneshwar Limbekar,01-07-2016,258813,1,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:47Z,marathi devotional,0.586,0.822,2,-3.09,1,0.0408,0.395,0.00146,0.239,0.624,131.862,4
2ybms9nesDDkNhexJuG4Gt,1NRspu6Gx51vlRQi4Jk1lI,Bharatiya Ghtanecha,Marathi Devotional Songs Vol 4,Vaman Dhakte,30-09-2020,212605,0,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:54Z,marathi devotional,0.638,0.401,8,-11.87,0,0.0367,0.626,0.00000389,0.564,0.588,114.452,4
42ggmuVwEepW3P7AoOjVaK,0w4e7HVbqAHFPN6VkIlvhe,Man Ha Mogara,Pandharichya Sakhya Panduranga (Marathi Devotional Songs),Suresh Wadkar,01-07-2016,420649,1,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:31:54Z,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.436,0.444,1,-10.138,1,0.0385,0.815,0.000017,0.12,0.23,127.521,4
7pXFaDrME6VudiKYy3DFhH,1FAPUROKezjuHPDQYxrlzd,Patit Pabana,Marathi Devotional Songs Vol 2,Ravindra,30-09-2020,174795,0,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:32:01Z,marathi traditional,0.343,0.567,8,-6.951,1,0.0324,0.848,0,0.326,0.749,102.393,4
0YbNBnahOaxkRMJhDzdSf4,61mJv2UwGrEfW2AHVPX8BA,Uth Ganesha,Marathi Devotional Songs Vol 3,Sharad Jambhekar,30-09-2020,186360,0,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:32:05Z,marathi devotional,0.208,0.629,10,-6,1,0.042,0.833,0.0000864,0.655,0.611,173.978,4
